client_id,client_name,industry
1,Client_1,Retail
2,Client_2,Manufacturing
3,Client_3,Healthcare
4,Client_4,Manufacturing
5,Client_5,Banking
6,Client_6,Manufacturing
7,Client_7,Manufacturing
8,Client_8,Retail
9,Client_9,Manufacturing
10,Client_10,Retail
11,Client_11,Banking
12,Client_12,Banking
13,Client_13,Healthcare
14,Client_14,Manufacturing
15,Client_15,Healthcare
16,Client_16,Healthcare
17,Client_17,Manufacturing
18,Client_18,Retail
19,Client_19,Banking
20,Client_20,Banking
21,Client_21,Manufacturing
22,Client_22,Manufacturing
23,Client_23,Banking
24,Client_24,Retail
25,Client_25,Banking
26,Client_26,Retail
27,Client_27,Ecommerce
28,Client_28,Ecommerce
29,Client_29,Manufacturing
30,Client_30,Ecommerce
31,Client_31,Manufacturing
32,Client_32,Healthcare
33,Client_33,Banking
34,Client_34,Healthcare
35,Client_35,Ecommerce
36,Client_36,Healthcare
37,Client_37,Healthcare
38,Client_38,Ecommerce
39,Client_39,Ecommerce
40,Client_40,Banking
41,Client_41,Banking
42,Client_42,Manufacturing
43,Client_43,Manufacturing
44,Client_44,Retail
45,Client_45,Manufacturing
46,Client_46,Banking
47,Client_47,Manufacturing
48,Client_48,Ecommerce
49,Client_49,Retail
50,Client_50,Healthcare
51,Client_51,Manufacturing
52,Client_52,Healthcare
53,Client_53,Retail
54,Client_54,Ecommerce
55,Client_55,Retail
56,Client_56,Manufacturing
57,Client_57,Banking
58,Client_58,Ecommerce
59,Client_59,Manufacturing
60,Client_60,Banking
61,Client_61,Retail
62,Client_62,Manufacturing
63,Client_63,Banking
64,Client_64,Retail
65,Client_65,Ecommerce
66,Client_66,Ecommerce
67,Client_67,Healthcare
68,Client_68,Ecommerce
69,Client_69,Banking
70,Client_70,Banking
71,Client_71,Ecommerce
72,Client_72,Manufacturing
73,Client_73,Ecommerce
74,Client_74,Healthcare
75,Client_75,Banking
76,Client_76,Retail
77,Client_77,Banking
78,Client_78,Healthcare
79,Client_79,Ecommerce
80,Client_80,Healthcare
81,Client_81,Manufacturing
82,Client_82,Healthcare
83,Client_83,Healthcare
84,Client_84,Manufacturing
85,Client_85,Healthcare
86,Client_86,Banking
87,Client_87,Manufacturing
88,Client_88,Ecommerce
89,Client_89,Banking
90,Client_90,Retail
91,Client_91,Manufacturing
92,Client_92,Manufacturing
93,Client_93,Ecommerce
94,Client_94,Manufacturing
95,Client_95,Retail
96,Client_96,Healthcare
97,Client_97,Manufacturing
98,Client_98,Retail
99,Client_99,Healthcare
100,Client_100,Manufacturing
101,Client_101,Ecommerce
102,Client_102,Manufacturing
103,Client_103,Ecommerce
104,Client_104,Banking
105,Client_105,Manufacturing
106,Client_106,Healthcare
107,Client_107,Banking
108,Client_108,Banking
109,Client_109,Ecommerce
110,Client_110,Retail
111,Client_111,Banking
112,Client_112,Healthcare
113,Client_113,Ecommerce
114,Client_114,Retail
115,Client_115,Healthcare
116,Client_116,Healthcare
117,Client_117,Retail
118,Client_118,Ecommerce
119,Client_119,Manufacturing
120,Client_120,Retail
121,Client_121,Retail
122,Client_122,Ecommerce
123,Client_123,Retail
124,Client_124,Healthcare
125,Client_125,Banking
126,Client_126,Retail
127,Client_127,Ecommerce
128,Client_128,Banking
129,Client_129,Healthcare
130,Client_130,Banking
131,Client_131,Healthcare
132,Client_132,Manufacturing
133,Client_133,Manufacturing
134,Client_134,Banking
135,Client_135,Banking
136,Client_136,Ecommerce
137,Client_137,Healthcare
138,Client_138,Retail
139,Client_139,Ecommerce
140,Client_140,Banking
141,Client_141,Manufacturing
142,Client_142,Banking
143,Client_143,Ecommerce
144,Client_144,Ecommerce
145,Client_145,Healthcare
146,Client_146,Banking
147,Client_147,Healthcare
148,Client_148,Ecommerce
149,Client_149,Retail
150,Client_150,Manufacturing
151,Client_151,Manufacturing
152,Client_152,Banking
153,Client_153,Banking
154,Client_154,Banking
155,Client_155,Manufacturing
156,Client_156,Manufacturing
157,Client_157,Ecommerce
158,Client_158,Healthcare
159,Client_159,Ecommerce
160,Client_160,Manufacturing
161,Client_161,Ecommerce
162,Client_162,Healthcare
163,Client_163,Manufacturing
164,Client_164,Retail
165,Client_165,Banking
166,Client_166,Manufacturing
167,Client_167,Manufacturing
168,Client_168,Manufacturing
169,Client_169,Retail
170,Client_170,Banking
171,Client_171,Retail
172,Client_172,Retail
173,Client_173,Manufacturing
174,Client_174,Ecommerce
175,Client_175,Manufacturing
176,Client_176,Banking
177,Client_177,Manufacturing
178,Client_178,Banking
179,Client_179,Healthcare
180,Client_180,Banking
181,Client_181,Manufacturing
182,Client_182,Retail
183,Client_183,Manufacturing
184,Client_184,Healthcare
185,Client_185,Ecommerce
186,Client_186,Healthcare
187,Client_187,Retail
188,Client_188,Healthcare
189,Client_189,Manufacturing
190,Client_190,Banking
191,Client_191,Ecommerce
192,Client_192,Banking
193,Client_193,Banking
194,Client_194,Ecommerce
195,Client_195,Banking
196,Client_196,Retail
197,Client_197,Manufacturing
198,Client_198,Manufacturing
199,Client_199,Banking
200,Client_200,Banking
201,Client_201,Manufacturing
202,Client_202,Retail
203,Client_203,Ecommerce
204,Client_204,Manufacturing
205,Client_205,Banking
206,Client_206,Ecommerce
207,Client_207,Ecommerce
208,Client_208,Ecommerce
209,Client_209,Healthcare
210,Client_210,Banking
211,Client_211,Manufacturing
212,Client_212,Manufacturing
213,Client_213,Banking
214,Client_214,Retail
215,Client_215,Healthcare
216,Client_216,Healthcare
217,Client_217,Retail
218,Client_218,Healthcare
219,Client_219,Retail
220,Client_220,Ecommerce
221,Client_221,Manufacturing
222,Client_222,Retail
223,Client_223,Retail
224,Client_224,Retail
225,Client_225,Banking
226,Client_226,Retail
227,Client_227,Manufacturing
228,Client_228,Manufacturing
229,Client_229,Banking
230,Client_230,Banking
231,Client_231,Manufacturing
232,Client_232,Retail
233,Client_233,Manufacturing
234,Client_234,Ecommerce
235,Client_235,Healthcare
236,Client_236,Ecommerce
237,Client_237,Ecommerce
238,Client_238,Banking
239,Client_239,Retail
240,Client_240,Ecommerce
241,Client_241,Manufacturing
242,Client_242,Ecommerce
243,Client_243,Retail
244,Client_244,Healthcare
245,Client_245,Manufacturing
246,Client_246,Healthcare
247,Client_247,Healthcare
248,Client_248,Banking
249,Client_249,Retail
250,Client_250,Ecommerce
251,Client_251,Manufacturing
252,Client_252,Ecommerce
253,Client_253,Retail
254,Client_254,Ecommerce
255,Client_255,Retail
256,Client_256,Banking
257,Client_257,Ecommerce
258,Client_258,Ecommerce
259,Client_259,Healthcare
260,Client_260,Ecommerce
261,Client_261,Banking
262,Client_262,Manufacturing
263,Client_263,Manufacturing
264,Client_264,Banking
265,Client_265,Ecommerce
266,Client_266,Healthcare
267,Client_267,Manufacturing
268,Client_268,Healthcare
269,Client_269,Healthcare
270,Client_270,Manufacturing
271,Client_271,Ecommerce
272,Client_272,Healthcare
273,Client_273,Ecommerce
274,Client_274,Manufacturing
275,Client_275,Manufacturing
276,Client_276,Manufacturing
277,Client_277,Manufacturing
278,Client_278,Banking
279,Client_279,Ecommerce
280,Client_280,Banking
281,Client_281,Healthcare
282,Client_282,Retail
283,Client_283,Ecommerce
284,Client_284,Banking
285,Client_285,Ecommerce
286,Client_286,Manufacturing
287,Client_287,Ecommerce
288,Client_288,Manufacturing
289,Client_289,Ecommerce
290,Client_290,Ecommerce
291,Client_291,Healthcare
292,Client_292,Banking
293,Client_293,Manufacturing
294,Client_294,Manufacturing
295,Client_295,Retail
296,Client_296,Banking
297,Client_297,Banking
298,Client_298,Manufacturing
299,Client_299,Retail
300,Client_300,Retail
301,Client_301,Ecommerce
302,Client_302,Healthcare
303,Client_303,Healthcare
304,Client_304,Ecommerce
305,Client_305,Banking
306,Client_306,Healthcare
307,Client_307,Manufacturing
308,Client_308,Banking
309,Client_309,Ecommerce
310,Client_310,Healthcare
311,Client_311,Ecommerce
312,Client_312,Retail
313,Client_313,Manufacturing
314,Client_314,Retail
315,Client_315,Retail
316,Client_316,Banking
317,Client_317,Retail
318,Client_318,Banking
319,Client_319,Banking
320,Client_320,Retail
321,Client_321,Ecommerce
322,Client_322,Manufacturing
323,Client_323,Manufacturing
324,Client_324,Retail
325,Client_325,Manufacturing
326,Client_326,Manufacturing
327,Client_327,Healthcare
328,Client_328,Banking
329,Client_329,Banking
330,Client_330,Healthcare
331,Client_331,Banking
332,Client_332,Healthcare
333,Client_333,Healthcare
334,Client_334,Retail
335,Client_335,Healthcare
336,Client_336,Manufacturing
337,Client_337,Healthcare
338,Client_338,Manufacturing
339,Client_339,Banking
340,Client_340,Ecommerce
341,Client_341,Manufacturing
342,Client_342,Retail
343,Client_343,Ecommerce
344,Client_344,Manufacturing
345,Client_345,Retail
346,Client_346,Retail
347,Client_347,Retail
348,Client_348,Banking
349,Client_349,Ecommerce
350,Client_350,Retail
351,Client_351,Retail
352,Client_352,Ecommerce
353,Client_353,Healthcare
354,Client_354,Healthcare
355,Client_355,Healthcare
356,Client_356,Banking
357,Client_357,Healthcare
358,Client_358,Ecommerce
359,Client_359,Retail
360,Client_360,Retail
361,Client_361,Retail
362,Client_362,Retail
363,Client_363,Ecommerce
364,Client_364,Ecommerce
365,Client_365,Healthcare
